"","METHOD","TEST_RMSPE","Time"
"1","brnn",0.187097770158791,3.49442195892334
"2","cubist",0.17624806532469,17.5813131332397
"3","enet",0.219718174580375,1.79401087760925
"4","enpls",0.217270761721187,175.859928131104
"5","enpls.fs",NA,300.114722967148
"6","foba",0.219718189517873,1.77841210365295
"7","icr",0.307205431254099,1.82521176338196
"8","krlsPoly",0.296350946593195,105.06667304039
"9","krlsRadial",NA,453.073704004288
"10","lars",0.219718174580375,1.17000818252563
"11","lars2",0.206840902867839,1.2636079788208
"12","lasso",0.212824980915494,1.18560791015625
"13","leapBackward",0.226179011569076,1.27920794487
"14","leapForward",0.226179011569076,1.10760712623596
"15","leapSeq",0.19685348007961,1.12320685386658
"16","lm",0.219718174580564,1.04520702362061
"17","lmStepAIC",0.219718174580564,1.65360999107361
"18","M5",0.201940567841534,85.082946062088
"19","M5Rules",0.206114625381172,73.1800689697266
"20","neuralnet",NA,309.724385023117
"21","nnls",NA,0.280802011489868
"22","pcr",0.33807143639473,1.24800801277161
"23","penalized",0.220219351942617,5.709636926651
"24","ppr",0.237068849472749,1.62241005897522
"25","pythonKnnReg",NA,0.296401977539062
"26","qrf",0.181051990166309,94.3494050502777
"27","qrnn",NA,NA
"28","relaxo",NA,NA
"29","ridge",NA,NA
"30","rlm",NA,NA
"31","rqlasso",NA,NA
"32","rqnc",NA,NA
"33","rvmLinear",NA,NA
"34","rvmPoly",NA,NA
"35","rvmRadial",NA,NA
"36","superpc",NA,NA
